,id,neighbourhood_group_cleansed,price,neighbourhood_cleansed,accommodates,availability_365,minimum_nights,revenue
3761,5975898,Ciutat Vella,70.0,"Sant Pere, Santa Caterina i la Ribera",2,232,31,775.83
3768,5996208,Sant Martí,31.0,el Besòs i el Maresme,4,286,32,204.08
3803,6096237,Eixample,70.0,l'Antiga Esquerra de l'Eixample,4,342,32,134.17
3804,6096609,Sarrià-Sant Gervasi,55.0,Sant Gervasi - Galvany,2,197,32,770.0
3839,6178385,Gràcia,55.0,Vallcarca i els Penitents,5,39,32,1494.17
3960,6459592,Ciutat Vella,44.0,el Barri Gòtic,4,101,31,968.0
4139,6774451,Eixample,51.0,la Nova Esquerra de l'Eixample,4,59,31,1300.5
4242,6943632,Sant Martí,115.0,el Poblenou,4,355,32,95.83
4414,7297678,Eixample,70.0,la Nova Esquerra de l'Eixample,4,331,33,198.33
4589,7659740,Ciutat Vella,41.0,el Raval,4,247,31,403.17
4653,7793455,Ciutat Vella,40.0,"Sant Pere, Santa Caterina i la Ribera",4,245,32,400.0
4663,7824065,Eixample,45.0,la Nova Esquerra de l'Eixample,2,50,32,1181.25
4981,8517753,Ciutat Vella,140.0,el Barri Gòtic,4,349,32,186.67
5027,8661298,Ciutat Vella,37.0,el Raval,2,42,31,995.92
5028,8661616,Ciutat Vella,40.0,el Raval,2,75,31,966.67
5031,8662474,Eixample,38.0,la Dreta de l'Eixample,4,84,31,889.83
5086,8804801,Ciutat Vella,40.0,la Barceloneta,2,151,60,713.33
5135,8929591,Ciutat Vella,67.0,el Barri Gòtic,4,162,31,1133.42
5181,9048372,Les Corts,119.0,la Maternitat i Sant Ramon,6,365,32,0.0
5214,9148404,Ciutat Vella,48.0,el Raval,2,109,32,1024.0
5227,9190009,Ciutat Vella,45.0,la Barceloneta,2,125,32,900.0
5380,9606741,Ciutat Vella,39.0,el Raval,3,94,40,880.75
5482,9869471,Ciutat Vella,65.0,la Barceloneta,3,307,32,314.17
5522,9937100,Ciutat Vella,89.0,el Barri Gòtic,4,235,31,964.17
5523,9937559,Ciutat Vella,99.0,el Barri Gòtic,6,316,31,404.25
5548,10005342,Ciutat Vella,31.0,"Sant Pere, Santa Caterina i la Ribera",4,237,31,330.67
5582,10078923,Ciutat Vella,29.0,la Barceloneta,2,257,31,261.0
5620,10163333,Ciutat Vella,75.0,la Barceloneta,2,316,32,306.25
5631,10203560,Ciutat Vella,29.0,la Barceloneta,2,207,31,381.83
5632,10203916,Ciutat Vella,29.0,la Barceloneta,2,238,31,306.92
5640,10238081,Ciutat Vella,153.0,"Sant Pere, Santa Caterina i la Ribera",6,301,31,816.0
