,id,neighbourhood_group_cleansed,price,neighbourhood_cleansed,accommodates,availability_365,minimum_nights,revenue
6549,12534863,Sants-Montjuïc,1000.0,la Font de la Guatlla,6,353,2,1000.0
6560,12554868,Sant Martí,110.0,el Parc i la Llacuna del Poblenou,4,12,3,3235.83
6561,12556633,Ciutat Vella,500.0,"Sant Pere, Santa Caterina i la Ribera",6,303,2,2583.33
6565,12580717,Ciutat Vella,110.0,el Raval,4,341,3,220.0
6569,12587201,Eixample,240.0,Sant Antoni,6,318,3,940.0
6570,12588632,Eixample,10.0,la Sagrada Família,4,356,31,7.5
6572,12594903,Ciutat Vella,50.0,el Raval,2,326,32,162.5
6583,12622252,Eixample,260.0,la Dreta de l'Eixample,4,158,3,4485.0
6590,12638899,Gràcia,76.0,la Vila de Gràcia,4,0,2,2311.67
6591,12651201,Sants-Montjuïc,72.0,el Poble Sec,4,7,3,2148.0
6602,12693694,Sants-Montjuïc,85.0,el Poble Sec,4,312,3,375.42
6604,12694295,Ciutat Vella,145.0,"Sant Pere, Santa Caterina i la Ribera",4,278,3,1051.25
6605,12694296,Ciutat Vella,155.0,"Sant Pere, Santa Caterina i la Ribera",5,269,3,1240.0
6614,12721954,Ciutat Vella,85.0,"Sant Pere, Santa Caterina i la Ribera",2,216,5,1055.42
6615,12723242,Sants-Montjuïc,100.0,el Poble Sec,6,151,1,1783.33
6644,12817831,Eixample,140.0,el Fort Pienc,4,303,3,723.33
6658,12847820,Eixample,230.0,la Dreta de l'Eixample,6,256,1,2089.17
6659,12848625,Gràcia,140.0,la Vila de Gràcia,2,9,3,4153.33
6664,12858429,Eixample,120.0,la Dreta de l'Eixample,6,300,4,650.0
6667,12863712,Eixample,204.0,la Dreta de l'Eixample,6,118,3,4199.0
6670,12866743,Eixample,85.0,Sant Antoni,6,110,3,1806.25
6681,12882521,Gràcia,120.0,la Vila de Gràcia,6,331,7,340.0
6683,12885602,Eixample,93.0,Sant Antoni,5,83,1,2185.5
6685,12894713,Gràcia,100.0,la Vila de Gràcia,6,313,6,433.33
6689,12900273,Ciutat Vella,85.0,"Sant Pere, Santa Caterina i la Ribera",2,358,4,49.58
6703,12927834,Eixample,125.0,la Sagrada Família,4,330,3,364.58
6718,12949225,Eixample,250.0,la Dreta de l'Eixample,4,301,1,1333.33
6722,12960189,Eixample,315.0,Sant Antoni,6,318,3,1233.75
6735,12978453,Eixample,246.0,la Dreta de l'Eixample,4,284,3,1660.5
6747,12999973,Eixample,125.0,la Nova Esquerra de l'Eixample,5,271,4,979.17
6748,13009615,Eixample,90.0,la Dreta de l'Eixample,3,111,2,1905.0
6751,13009911,Eixample,113.0,Sant Antoni,6,239,2,1186.5
6752,13010635,Eixample,85.0,la Sagrada Família,5,166,3,1409.58
6781,13062379,Eixample,513.0,la Dreta de l'Eixample,6,352,2,555.75
6788,13074903,Eixample,189.0,Sant Antoni,6,174,4,3008.25
6796,13088376,Eixample,68.0,el Fort Pienc,4,89,1,1564.0
6800,13103577,Ciutat Vella,180.0,el Barri Gòtic,6,365,32,0.0
6803,13106697,Sant Martí,65.0,el Poblenou,4,48,2,1717.08
6806,13108452,Ciutat Vella,41.0,"Sant Pere, Santa Caterina i la Ribera",2,72,31,1001.08
6815,13120331,Eixample,150.0,la Nova Esquerra de l'Eixample,4,113,3,3150.0
6820,13124171,Gràcia,85.0,la Vila de Gràcia,3,90,2,1947.92
6823,13131181,Eixample,70.0,la Sagrada Família,6,349,3,93.33
6824,13131433,Sarrià-Sant Gervasi,129.0,Sant Gervasi - Galvany,4,115,3,2687.5
6827,13134327,Eixample,110.0,la Dreta de l'Eixample,4,111,3,2328.33
6832,13158693,Ciutat Vella,95.0,la Barceloneta,4,0,3,2889.58
6835,13160787,Eixample,375.0,la Dreta de l'Eixample,5,287,3,2437.5
6837,13161668,Eixample,300.0,la Dreta de l'Eixample,6,345,3,500.0
6840,13165887,Eixample,295.0,la Dreta de l'Eixample,4,267,3,2409.17
6850,13180011,Sants-Montjuïc,53.0,el Poble Sec,6,333,1,141.33
6853,13184021,Gràcia,70.0,la Vila de Gràcia,5,270,1,554.17
6873,13213043,Eixample,211.0,la Dreta de l'Eixample,5,326,3,685.75
6875,13213741,Eixample,195.0,la Dreta de l'Eixample,6,348,3,276.25
6885,13228966,Sants-Montjuïc,59.0,el Poble Sec,5,149,2,1062.0
6897,13246027,Ciutat Vella,209.0,el Barri Gòtic,6,154,3,3674.92
6899,13252833,Gràcia,90.0,la Vila de Gràcia,2,212,31,1147.5
6904,13260441,Sants-Montjuïc,55.0,el Poble Sec,2,35,2,1512.5
6914,13268414,Sants-Montjuïc,165.0,el Poble Sec,6,232,4,1828.75
6915,13268531,Sants-Montjuïc,100.0,Sants - Badal,4,53,4,2600.0
6921,13270342,Eixample,176.0,Sant Antoni,4,316,4,718.67
6923,13270527,Eixample,70.0,la Dreta de l'Eixample,6,21,3,2006.67
6924,13271063,Eixample,100.0,l'Antiga Esquerra de l'Eixample,5,272,3,775.0
6935,13279313,Ciutat Vella,139.0,el Barri Gòtic,6,222,31,1656.42
6942,13288767,Ciutat Vella,65.0,"Sant Pere, Santa Caterina i la Ribera",3,350,32,81.25
6944,13291406,Eixample,295.0,la Dreta de l'Eixample,6,348,3,417.92
6956,13305377,Sants-Montjuïc,120.0,el Poble Sec,3,308,3,570.0
6971,13321320,Ciutat Vella,120.0,"Sant Pere, Santa Caterina i la Ribera",4,230,2,1350.0
6973,13321552,Eixample,150.0,el Fort Pienc,6,123,2,3025.0
6984,13340872,Sant Andreu,70.0,Navas,5,19,2,2018.33
6986,13342940,Ciutat Vella,95.0,la Barceloneta,3,25,4,2691.67
6990,13347472,Eixample,310.0,la Dreta de l'Eixample,4,293,2,1860.0
6996,13356283,Ciutat Vella,75.0,el Barri Gòtic,5,268,1,606.25
7003,13368075,Sarrià-Sant Gervasi,63.0,Sant Gervasi - Galvany,2,365,32,0.0
7005,13370906,Les Corts,76.0,la Maternitat i Sant Ramon,4,31,1,2115.33
7008,13382536,Sant Martí,90.0,Diagonal Mar i el Front Marítim del Poblenou,6,293,2,540.0
7024,13404925,Ciutat Vella,27.0,el Barri Gòtic,2,210,32,348.75
7025,13405023,Eixample,399.0,la Dreta de l'Eixample,6,274,2,3025.75
7032,13421591,Eixample,280.0,la Dreta de l'Eixample,6,358,1,163.33
7035,13425112,Eixample,199.0,Sant Antoni,4,302,2,1044.75
7036,13425371,Eixample,199.0,Sant Antoni,4,299,2,1094.5
7038,13425534,Eixample,199.0,Sant Antoni,4,197,2,2786.0
7039,13425603,Eixample,100.0,la Sagrada Família,4,237,3,1066.67
7040,13426622,Ciutat Vella,119.0,"Sant Pere, Santa Caterina i la Ribera",2,127,4,2360.17
7077,13502848,Ciutat Vella,70.0,el Barri Gòtic,4,365,32,0.0
7087,13517114,Eixample,200.0,l'Antiga Esquerra de l'Eixample,5,168,2,3283.33
7089,13517526,Eixample,189.0,Sant Antoni,6,172,4,3039.75
7105,13541286,Eixample,130.0,la Nova Esquerra de l'Eixample,4,359,3,65.0
7113,13547560,Sant Martí,70.0,el Parc i la Llacuna del Poblenou,4,44,3,1872.5
7116,13553100,Sant Martí,99.0,el Besòs i el Maresme,5,15,7,2887.5
7117,13553243,Eixample,85.0,la Nova Esquerra de l'Eixample,4,73,3,2068.33
7118,13554576,Eixample,120.0,Sant Antoni,6,59,3,3060.0
7119,13555213,Sarrià-Sant Gervasi,89.0,les Tres Torres,2,66,1,2217.58
7121,13558500,Sarrià-Sant Gervasi,66.0,el Putxet i el Farró,2,50,3,1732.5
7122,13559207,Sarrià-Sant Gervasi,80.0,el Putxet i el Farró,4,42,3,2153.33
7124,13559509,Sarrià-Sant Gervasi,95.0,el Putxet i el Farró,4,24,3,2699.58
7126,13559795,Sarrià-Sant Gervasi,115.0,el Putxet i el Farró,5,26,3,3248.75
7130,13569039,Sarrià-Sant Gervasi,105.0,el Putxet i el Farró,5,63,3,2642.5
7131,13569220,Ciutat Vella,120.0,el Raval,2,14,1,3510.0
7132,13569972,Ciutat Vella,65.0,"Sant Pere, Santa Caterina i la Ribera",3,124,31,1305.42
7133,13571420,Sants-Montjuïc,131.0,Hostafrancs,4,299,1,720.5
7135,13572127,Gràcia,250.0,el Camp d'en Grassot i Gràcia Nova,6,158,3,4312.5
7147,13600144,Eixample,165.0,l'Antiga Esquerra de l'Eixample,6,111,1,3492.5
7150,13602668,Eixample,140.0,l'Antiga Esquerra de l'Eixample,6,67,3,3476.67
7151,13602672,Eixample,145.0,l'Antiga Esquerra de l'Eixample,6,38,3,3951.25
7155,13610115,Eixample,140.0,l'Antiga Esquerra de l'Eixample,5,57,3,3593.33
7156,13610120,Eixample,140.0,l'Antiga Esquerra de l'Eixample,6,45,3,3733.33
7157,13610123,Eixample,120.0,la Dreta de l'Eixample,5,63,3,3020.0
7158,13610130,Eixample,120.0,l'Antiga Esquerra de l'Eixample,5,59,3,3060.0
7164,13616237,Sant Martí,151.0,Sant Martí de Provençals,6,204,3,2025.92
7176,13628415,Gràcia,200.0,el Camp d'en Grassot i Gràcia Nova,5,198,4,2783.33
7181,13633311,Eixample,400.0,l'Antiga Esquerra de l'Eixample,4,325,3,1333.33
7188,13647725,Ciutat Vella,51.0,la Barceloneta,4,283,32,348.5
7190,13648568,Ciutat Vella,72.0,"Sant Pere, Santa Caterina i la Ribera",4,328,32,222.0
7205,13663640,Eixample,400.0,l'Antiga Esquerra de l'Eixample,4,327,2,1266.67
7206,13664010,Eixample,400.0,l'Antiga Esquerra de l'Eixample,4,323,2,1400.0
7208,13666612,Eixample,290.0,la Dreta de l'Eixample,4,313,2,1256.67
7215,13678318,Sants-Montjuïc,45.0,la Bordeta,4,165,31,750.0
7229,13694580,Ciutat Vella,190.0,el Raval,2,125,32,3800.0
7264,13739624,Sarrià-Sant Gervasi,35.0,Sant Gervasi - Galvany,4,26,2,988.75
7265,13742364,Sarrià-Sant Gervasi,80.0,el Putxet i el Farró,2,24,3,2273.33
7267,13742399,Sarrià-Sant Gervasi,69.0,el Putxet i el Farró,3,44,3,1845.75
7275,13748950,Ciutat Vella,52.0,el Raval,5,203,32,702.0
7284,13763536,Ciutat Vella,111.0,"Sant Pere, Santa Caterina i la Ribera",2,250,2,1063.75
7296,13776433,Sants-Montjuïc,133.0,el Poble Sec,2,316,2,543.08
7303,13780544,Ciutat Vella,126.0,el Barri Gòtic,4,143,2,2331.0
7319,13806704,Eixample,180.0,la Dreta de l'Eixample,4,256,2,1635.0
7323,13811701,Eixample,180.0,la Dreta de l'Eixample,4,321,32,660.0
7324,13811835,Eixample,400.0,la Dreta de l'Eixample,6,268,2,3233.33
7338,13822980,Eixample,140.0,l'Antiga Esquerra de l'Eixample,6,60,3,3558.33
7341,13824126,Eixample,140.0,l'Antiga Esquerra de l'Eixample,5,64,3,3511.67
7347,13833685,Eixample,349.0,la Dreta de l'Eixample,4,70,3,8579.58
7349,13835041,Eixample,239.0,la Nova Esquerra de l'Eixample,6,162,3,4043.08
7352,13838321,Ciutat Vella,80.0,el Barri Gòtic,4,327,32,253.33
7359,13853803,Ciutat Vella,60.0,el Barri Gòtic,4,334,31,155.0
7365,13856102,Gràcia,89.0,la Vila de Gràcia,3,277,4,652.67
7366,13858043,Horta-Guinardó,90.0,el Guinardó,6,127,3,1785.0
7383,13878831,Gràcia,100.0,la Vila de Gràcia,4,283,3,683.33
7387,13888140,Ciutat Vella,27.0,el Barri Gòtic,2,68,64,668.25
